TransactionNumber,LineNumber,InvoiceDate,AccountingDate,PostingDate,VendorName,VendorCountry,VendorVatId,CustomerName,CustomerCountry,CustomerVatId,Currency,BaseAmount,TaxAmount,TaxRate,ShipToCountry,ShipFromCountry,LineDescription
690781797,dant8,2026-2-30,2026-04-31,2026/99/01,SpA SpA GmbH Co BV,SE,SEPQI7P1KATN5R SEPQI7P1KATN5R,Co  Holdings  Holdings  K.K.  Oy,US, ,SEK,"79907,02",82 617.01,8.329032311635128,DE,IN,Consulting services
0111134295,-5,2018/07/24,2020/02/04 +02:00,16/05/2018,"LLC , GmbH , Sarl🚀
",CA,X5RWN1NJBDLVCE894I6WYX2L.VAT,Inc BV Limited,FR,FRS2QNF,€,151281.29,31769.07,21%%,CA,Ireland,"Exempt supply
™"
ECNa5fbqn1jJ8UMH,63,N/A,2079-05-15,12.08.2026,Inc BV,US,USG1M4MF6L,Oy Co Inc S.A.Oy Co Inc S.A.Oy Co Inc S.A.Oy Co Inc S.A.,JP,UB84T2IC2C2KJWPYUG2CIM3LHVAT,JPY,ten%,"""123.45""",0.07,JP,Canada,"Rounding diffcomma,inside"
000652376435,NaN,2018/06/10,02/04/2021 UTC,02-Nov-2020,€Inc Partners Holdings🚀®,Germnay,M4ZYIJ,😀GmbH Oy Trading BV,ES,"₹E7C8FV1NZ-NTZ8.",INR,12..34,0.0007802631485753797,0.19,Germnay,IN,Rounding diff
*/{);#\@^,311,09/30/2022,2026-13-01,2026-13-01,LLC Partners NV',CA,CATVJV15PWTFDM,SpA SpA S.A.,Netherland,6,INR,"GBP 197293,72",9864.69,5.0,IT,???,Import VAT
!>:(?<<*|@<:,K,31/02/2026,2019-07-29 14:56:28,,Inc & &,BR,BRGUCFHZJEJIDVKUMZHI7Y,"
₹™Trading Holdings S.A.😀😀",CN,CN5MSGUDCY,CHF,0.0005310419586913095,€5.42,0.05,IE,Germnay,"Reverse charge applies | IHF48i2GDrmZhvkUDPqTlaVvYsKRWmlN2O5z0BGufzQgl iEu7pcomma,inside"
xSpdQhDtkzRG754,470,12/30/2017,21-Jan-2027,11/02/2023 (local),Trading NV Limited Limited Co,BR,3T8WQT-3Z,Global Limited LLC BV B.V.,IE,03910651801704LI0,GBP ,339778.83,84944.71,25.0%,Germnay,PL,???
so06UKuKMXR0u,8L4V6,20.01.2016,2026/99/01,01/21/2020,"Sarl
&
&
Co",Australia,C3HO//24C_ZDUDLJ0DC7UF/DP,Partners Holdings OR 1=1,Spain,VATBRWVT6UKDN,CNY,"'99,99'","£- 123,45",2.7718022088869674,NO,FR,¥®Reimbursement | anGDxdNOQ7N6EQFbaIJ
HjpmNH,-25,2026-05-08T25:61:61,17.09.2015,,B.V. GmbH BV S.A.¥🚀,FRA,-UH24HY-2BK1D_9P4JA-F-OYL,Global Oy Inc NV BV,AU,AUM36RE4LPK1HSVE,AUD,384.944.54,"£- 123,45",-1.309120108006793,Ireland,Belgium,Software license | rFjekBrAtEYexq8pUOFMNmDgita8z
)[>\,9KYp,10-Mar-2023,2025-05-09 07:37:59,9999-99-99,Co Limited NV S.A. S.A.Co Limited NV S.A. S.A.Co Limited NV S.A. S.A.Co Limited NV S.A. S.A.Co Limited NV S.A. S.A.Co Limited NV S.A. S.A.,AUS,"
€
U_PYWQY2NY/56FM U_PYWQY2NY/56FM",LLC LLC,Spain,_-ESNPT_W9M1U6I,CHF,152504.62,50228.15,-3.408641723653675,Sweden,ES,Reverse charge applies
];>^/\),SjG,2024-06-27 06:45:47,12/25/2025,13-Nov-2025,Trading S.A. SpA Oy,CN,CNHEVAT,"Holdings
Sarl
GmbH
GmbH
Limited",CN,CN7HYNY2SYDR6F,USD,496948.63,12426.27,2.5005149268585276,IN,FR,"Office supplies¥®"
624870013,498,02.06.2016,07/29/2022,1935-09-26 22:47:54 UTC,BV Partners Global,AU, ,LLC BV B.V. GmbH B.V.,ES,ES 206436110371,PLN,ten%,"153242,50",-2.6162757952255515,NLD ,NO,Freight charges | MUMsX8Sb22Q4tnHMGmVzsPdY5Y9pFyhpFOMeH4 ax7uiy31K
630676756,GXABSz,null,2026-13-01,2018/06/26,"Limited SpA Limited Inc SpA,",123,AEB7080AVMXXGAN8,NV BV,United Kingdom,HX4G-4VTW,PLN,385 531.12 ,one hundred,21.0%,Sweden,FR,Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH Reverse charge applies | YtVNpDxL FXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnH 
";|#<$,%",-8,2026-2-30,2022-04-26 11:34:48,06/27/2018,Sarl  BV,US, ,"™€©B.V. , Holdings , Co , Holdings®",N L,95FMPWVAT,,"£- 123,45",1038.25,-2.254896748909618,IN,BE,Consulting services
411259528,y,2025/11/14,08-05-26,2026-04-31,"
😀Limited S.A. NV Oy",ZA,"
ZAOMBBFKM1M9CVYJBV253EVAT","B.V. & GmbH,₹😀",,319_97, USD,-413989196995.04114,-28979243789.65,0.07,SE,DE,Freight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight chargesFreight charges
{$:<?/*^;#,,10/25/2018,1/1/1,09/03/2024,BV K.K.,IE,ie10698720,Trading  &  Limited  &  Oy,PL,PL@I5U7,USD,387533241749.3266,38753324174.93,0.1,BR,BRA,Freight charges
000084147555,305,02.07.2016,12.04.2015 UTC,15/05/2017,& Trading K.K.,Netherland,2PLF3UHN1,,CN,6E8JSKHQ/5CSDQVXN3WA4JWP8,GBP,415629.62,87272.83,0.21,China,NO,Intra-EU acquisition
928389319,411,   ,05.03.2021,28/11/2023 GMT+2,SpA	Inc	Co,United Kingdom,gb30965207446,Co	Sarl,BE,MWJAZBI6U8GZBL5EMEJQLNG_I,0,620658488719.6498,130338282631.13,21%%,IE,123,Exempt supply
000652376435,534,2026-05-08T25:61:61,20260416,03.10.2026,&  SpA  Limited,CN,WA7N2OGY.3/3613,B.V. Sarl,PL,PLD0JQ6,USD,306937.47,€64456.87,"0,21",CA,SE,Payment fee | xZRuBVhg2W4ca2iQPkvw5C9Nr4Uf
?^$%\|@^,292,2026/99/01,2017-12-06 17:35:18 +02:00,00/00/0000,,JP,€©€6RFUMO9Z.30AWUV,Trading	Partners	K.K.	B.V.,ZAF,SEF5TSS5VSK7V16PQ2ZZ05,E_U_R,"334,094.56",715916341148.1525,2 1 %,SWE,123,Reimbursement | nD0YmTvgWAc7O1RLhX5CDQL9Gi9FaHVdJ7B
"/>>[,{}>",494,20180205,16-Nov-2019,2018/12/27,"S.A. S.A.""",South Africa,NLCHVAT,"Global
SpA
Co
GmbH",Australia,GB05719838638DY05719838638,CHF,308383.66,18252.01,5.918603927577147,Brazil,AU,Rounding diff
542390323,114,2021-08-01 07:57:12,"May 35, 2026","May 35, 2026",®Co  SpA OR 1=1£₹	,UAE,GB5887704358158877043581,B.V. Trading Global BV Holdings --,DE,,AUD, (123.45) ,   123   ,0.05,Ireland,BE,Rounding diffRounding diffRounding diffRounding diffRounding diffRounding diffRounding diffRounding diffRounding diffRounding diff
0856292578,98a,11.02.2015,17.09.2022,1/1/1,BV Global,N L,GBVLM8F,Trading Sarl,ZA,ZA9NKRA0KF,PLN,365151.26,18258.34,0.05,DE/FR,BRA,Rounding diff€¥😀
iCklK8KQ39jVU,250,2019/08/21,"May 35, 2026",02/18/2021,"Co , & , &",France,VATCNSAE4W,"S.A. , SpA , Co , BV""",CA,™VATL7UUUD_AQ,EUR,"1,2,3",199755.44, ,N L,US,Software licensetab	inside
708017428,481,23.04.2023,03.12.2027 +02:00,1/1/1,BV GmbHBV GmbHBV GmbHBV GmbH,Netherland,PL69RGGYRN,,NL,NLNZZUG,GBP, (123.45) ,103301.36,0.09,NLD,Belgium,Exempt supply
",)&@>,,\*>^/",81,   ,2019-06-29,   ,LLC Sarl S.A. LLC,BRA,"¥
NLZ4",K.K.  GmbH  B.V.,Holland,UFLTT_1U7G4OEEK,CHF,--123, ,0.2,NO,PL,Consulting services
0196357165,270,09.04.2026,13/13/2013,19/08/1975,Trading S.A. Oy,BR,NPHSB- NPHSB-,Co GmbH S.A. SpA,NO,ROC99U0BQV8XYKV,INR,GBP 77487.65,19370.15,0.25,AE,IT,Reverse charge applies
}^^!%|*/(,86,2026-04-31,2026/99/01,26.06.2018,NV Limited Sarl BV Inc,ES,ZS8YB_,Inc  LLC  BV  S.A.,IT,ITYJMUYE5SJNQG9J,NOK,USD -799.86,-47.46,5.9329455177137405,US,Holland,Consulting services | bl gsriTCUaofjaFnvAtYZFxDSYcvf1W8jdrXzeIElm5
000828096890,377,20250809,2017-09-27 09:13:22,14.07.2017,Limited SpA BV Trading,BE,BE13271950052812OU9,SpA	B.V.	B.V.	Partners	BVSpA	B.V.	B.V.	Partners	BV,SE,SE1OM8G,CHF,281184.38,144 314.69,"0,21",DE,China,Payment fee
000652376435,,2025-07-01,20160422,2026-12-32,"Holdings Co,",  ,Q6-MTR6ABZPWLAY,LLC BV SpA & S.A.,SE,NQRK/F,DOLLAR,480634.15,384619.15,10.0%,PL,SE,Consulting services€£
700916307,269,null,08.06.2018,2026/99/01,SpA B.V.,CA,CA88UZCVPCZXFF4HRK57QRVAT,Trading & GmbH Global,IE, ,PLN,990159280679.509,377 655.56,"0,21",ZA,BRA,		Manual journal entry;DROP TABLE T;🚀😀
":>.#^&,",-17,2015/05/31,20160522,13/13/2013,"GmbH
LLC
B.V.
GmbH",N L,QF-VAT,,CA,CAYC8JX,JPY¥,"1,2,3",418959.00,0.25,France,JPN,Import VAT | ETPxl2yFEikmocAW a7r8AoVQmWnel79C3NFSu3D4pBzXcMV
688691373,-35,2027-07-05,20180925,2026.05.08.12.99.00,"Holdings
S.A.
GmbH OR 1=1Holdings
S.A.
GmbH OR 1=1Holdings
S.A.
GmbH OR 1=1Holdings
S.A.
GmbH OR 1=1Holdings
S.A.
GmbH OR 1=1Holdings
S.A.
GmbH OR 1=1",France,IECT5GKA757SN5,B.V. Inc,BEL,2AL-9A9B3,,USD 86.251.49,GBP 328032.66,0,ZA,🇳🇱,Export zero-rated | VLx7cfXtux5y0eWB1JesEihS3rvHAHnSnNdgKU 
"(,<>]%>",smahbD,2026.05.08.12.99.00,2016/01/08,,B.V. Oy SpAB.V. Oy SpAB.V. Oy SpA,Norway,CABC,"¥™©S.A. B.V. K.K. Holdings₹",GBR,9TYLTQ3XJ,EUR,341174.12,"'99,99'",N/A,BR,NL,Reverse charge applies | 0 8HRinUcDyT3Hha₹😀
0814426539,147,08/21/2017,2027/03/03,2021/12/25,Inc Limited Limited Trading S.A.,DE,.MJLCY5T- .MJLCY5T-,€¥🚀SpA Trading Limited S.A. BV™®£,DE,UEE9.GNPB, USD,10283.39,-44879.84,-4.364303930068993,CA,AE,Payment fee
000652376435,19.84,18-Dec-2027,01/10/2024,2016-05-26 (local),9Vo,GB,GBBU8CZ,GmbH Partners,N L,041VAT,US$,319332.66,€79833.16,0.25,ZA,IE,"Freight charges | VQ9QeROIZLtNd5vIXaEDG5EKUvAw9 ZsskcS7MVtUYKqdOELkKline
break"
0914232379,132,,01/06/2025,09/09/2022,   ,Nederland,G73ATPUJUYEOOUG9XR0ISOKX2 G73ATPUJUYEOOUG9XR0ISOKX2,B.V. B.V. BV /*test*/,Nederland,NOGP,SEK,"337,247.67 ",,21.0%,IN,ITA,Freight charges
0458469930,32,1994-12-24 06:28:41 UTC,02/09/2024,1/1/1,,IND,IEVURP4YE0OU7Y,& NV BV,CN,N,JPY,0xFF,192002.89,9999,NL,123,Consulting services | vYUczhnZPQHD8
000152031616,-6,"May 35, 2026",   ,1/1/1,GmbH Sarl Partners,ZA,,Oy K.K.,BE,PK7-Y8KD2_BL47H9QANZASF_2 PK7-Y8KD2_BL47H9QANZASF_2,,12..34,-716271291686.6833,,AE,SWE,Payment fee
855356665,91,11-Sep-2030,'10/29/1918',24-Apr-2022,"Inc , Holdings",BE,BE 70623972652,Co  &,BE,BE17762534K,SEK,427771.75,427780.30,100,AU,Netherland,😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹😀🚀Freight charges | tkTD2KVLb DDXi3TzlY3xODTOa3Oey5SvHcsBWrS8NIKYnYRfN4v€₹
761644945,333,2019/09/15,2023-11-21 16:28:18,2021/07/22,B.V. Holdings SpA,  ,IT272380468275??,"
™₹GmbH K.K. Co Trading™😀",IN,INQLKVXZSTVAT,JPY,"140513,88",35128.47,25.0%,CA,NLD ,Export zero-rated
U67CvShUE5ciRJ,one,26-Mar-2016,19/03/2093,04.04.2016 +02:00,B.V. Oy Inc S.A. &B.V. Oy Inc S.A. &B.V. Oy Inc S.A. &B.V. Oy Inc S.A. &,GB,IARQ8_/59VAT,uhsO7rTugIU1TgLLj,GB,GB61064628792L,JPY,NULL,-208788364786.30725,"21,0%",DE/FR,Poland,Rounding diff
$.<]%!%,175,2026-12-32,2026-12-32,16/10/2026,LLC	S.A.	K.K.,ES,®BJ17E8,Partners BV B.V.,Germnay,4VAT,USD,,"1 234 567,89",10.0%,US,IN,"¥Rounding diff€"
"*}$[$;$,%:",-30,30-Dec-2021,2026-13-01,2023-03-30,3pX,IN,4NC,Co Co Holdings Holdings S.A.,FR,674994657967843,AUD,one hundred,8508.19,,CA,ZA,Manual journal entry
603717151,498,2021-05-19Z,27/08/2022,2026-12-32,LLC Inc NV Sarl,GB,GB-698640790569-UG5,"Sarl , Trading , Inc , Holdings , Partners'",France,IE563718344??,CHF,   123   ,USD 281046.29,twenty one percent,  ,NL,"Payment fee""unclosed"
&!*),332,2026-2-30,2027-05-09,9999-99-99,& K.K. Oy Global& K.K. Oy Global,Holland,ES81898471391VY,Oy K.K. B.V. Trading Limited,France,BVAT,CAD,NaN,nan,9999,Netherland,123,Freight charges
000872144389,400,18/06/2022,2027-04-14 11:53:50,2026-04-31,"Oy	LLC	Inc,",ESP,SU8GB_,BV Global & GmbH SpA,PL,PLE11ZE5TCG@,PLN,281457.66,€25331.19,9.0%,Ireland,Belgium,Freight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZMFreight charges | dv7pE6wM8Q9ZM
958020314,477,11/24/2026,20.04.2021,01/08/2022,Inc BV Limited€🚀,ESP, ,"Co &€",India,S,JPY,"358480,80",€35858.04,0.1,ES,IT,Software license | ZPsuZdVeJ8Myf
zsPW9PjhtFZBVZ6t5,ErKM,07.03.2019 (local),"May 35, 2026",20261008,bv96Z-MU,NLD ,WVAT,	™	Oy  BV  GmbH  GmbH  Global£,ES,G_5W17,GBP ,Infinity,inf,"21,0%",United Kingdom,XX,"Export zero-rated | XDjEBbhk5jVSC9FEb3CLpmsK11zdvcomma,inside"
",<|>/:*\@",33,2017/08/15,29-Oct-2024,20250704,"Co
Partners
&
B.V.",US,USV6QVJFDZ31MG USV6QVJFDZ31MG,Limited &Limited &Limited &Limited &,ITA,SELM2ZH9W6,USD,"1 234 567,89",€-1354378.33,-1.0970402737457072,United Kingdom,France,Reimbursement | HAYoiZBA6A5D82HYRx8bCjXaTZH8efvuz XkBdzWcQ7Pj5Kd O TZQ4H s
369536156,NYNPC,20240127 (local),17-Feb-2027 (local),20931005,GmbH Partners GmbH,JPN,J-0TLF_-Y,😀¥& Holdings S.A. Trading K.K. OR 1=1🚀,DE,VAT8OXF6KX_CNT69RQ,SEK,181493.58,36298.72,0.2,NLD ,United States,Office supplies | YjjYLAd75t4
",)&@>,,\*>^/",zero,06/18/2023,18.04.2022,"May 35, 2026",Inc SpA Sarl,🇳🇱,-3-XCUW17YB1HDF,"Partners , Partners , NV , B.V. , SarlPartners , Partners , NV , B.V. , Sarl",FR,FR95690705626,NOK,489791.99,-972829079294.6259,VAT21,🇳🇱,GB,®Office supplies₹🚀	
180590848,60.79,20730114,2026-06-12,,   ,BE,VATBELGSHFKLDTL180U,G6a2gP30Jp7_UfCgJ15OaYyQkdC2jFzvQNi,🇳🇱,54Y1S7MO/MOB07T,CHF,NULL,"489960,16",100,Norway,N L,Freight charges | ZbLZO7v1qpgEp9v1d0vHYp8eXMNCWgOCLhf d
000861556587,53,22/07/2023,2025-03-03 13:58:41,2015/08/01,Inc SpA S.A. B.V.Inc SpA S.A. B.V.Inc SpA S.A. B.V.,FR,FRF8238,LLC	Limited	&	SpA	NVLLC	Limited	&	SpA	NV,Poland,BRLIN0X93F,SEK, (123.45) ,235241.16, 0.2100 ,,Norway,Adjustment / credit note©
910032903, ,"May 35, 2026",20220804,13/13/2013,Oy CoOy CoOy CoOy CoOy CoOy Co,???,CAF2CYI9KF3H,"K.K. , & , SpA , Sarl , NV",🇳🇱,4AWOWNVXTBKNXUV,CAD,207207525508.21066,20720752557.67,0.1,ES,,"Export zero-ratedline
break"
690781797,mTM,2027-03-08,04/08/2015,2026-12-32,"Trading , S.A.'Trading , S.A.'Trading , S.A.'Trading , S.A.'Trading , S.A.'",BR,BRSZ1N88J0VM,"Co Holdings,",IND,_1-289,CAD,"'99,99'","264917,74",21%%,FR,PL,Export zero-rated
000878209249,104,2015-03-02 05:11:42 +02:00,2026-01-04 16:45:19,09/02/2021,   ,Australia,YI4DVQZ7N46WKQSAGDW2T14TO,NV OyNV OyNV OyNV OyNV Oy,IT,IT125777118??,EUR,177244831535.8289,217532.29,*,Belgium,DE,Reimbursement | Abav0mRQeo9
0115624632,ng,2026/99/01,2026-12-32,2026.05.08.12.99.00,   ,AE,AG6/KO8LBKU4L1/,LLC Trading Holdings,FR,FR0E17JFRF538NVI,CHF,-260751756539.84302,-0.00,0,Netherland,AE,🚀©😀Exempt supply;DROP TABLE T;©
|;)^|&*},230,2026.05.08.12.99.00,29/02/2025,2026-04-31,K.K. Partners & K.K.,AE,/Y9ZBG,,ESP,8UC9C0 8UC9C0,INR,ten%,493699.00,"21,0%",Nederland,CA,Adjustment / credit note | PjqMD8RjqpML8Q1kahXfPT6yzTL 5fH6m4Bk1BqStG9IQ4yLtUAW
0153237433,158,,2026-13-01,06/20/2021,K.K. SpA OR 1=1,CN,CNQS6A5I5O7H4L1FUV603H CNQS6A5I5O7H4L1FUV603H,Partners Sarl,BE,,EUR,257637.43,48951.11,0.19,PL,DE,"😀
Export zero-ratedline
break	₹"
/\$|{)>&\,t,2025-06-21 06:07:07,2026-00-10,10/02/2024,B.V. NV Global,NO,E-/4LO,GmbH Oy GmbH Holdings SpA,NO,EEG7I575L,USD,0.00038019572768897754,191013.49,,Belgium,Brazil,Payment fee | T9yd Zvj0Tn2U7ZoSVd73Xl2FUzt
000727888176,271,17/04/2027 (local),00/00/0000,20241128,Co NV,N L,36M,Global & Sarl --,NLD,UNKNOWN,CAD,70.027.00,"1 234 567,89",VAT21,ZA,ES,Intra-EU acquisition | eT63YIlz0SbzJ0IYZHFeH1LIT0YPhW
000595627965,106,2026-2-30,2026-13-01,'2024-06-27',Sarl Global B.V.¥,NLD ,D62F2C9JD8/ZD_M,"B.V. Partners K.K. Oy Trading""",India,T5GR9YD4H,PLN,647774633572.3995,"50545,02",20.0%,CN,Japan,Manual journal entry
737293787,TXp,2024-11-04 12:53:19,18/02/2020,2026-13-01,,SE,SEW8UVWY7P0C,£B.V. Global K.K. S.A.;,,X/2/SAXEB4N8WM3RVOAN7LFY7,EUR,0.000304820494611681,€0.00,0,France,BRA, 
459928151,Baw43T,31/02/2026,16-Sep-2015,2026-04-31,"Limited
SpA
Holdings
S.A.
Holdings",Spain,3LR,"
K.K. SpA Oy B.V. B.V.
",CA,VATCARF9WBFH7GFRCU6WBC9E7,CAD,431496.81,-4.62,0,CA,BE,Reimbursement
629815563,483,07/13/2019 UTC,2027/07/27,2026/99/01,Holdings GmbH Sarl GmbH,JP,,K.K. K.K.,ITA,SWO,SEK,75801.54,€2823.28,3.734623338842587,Spain,ZA,Office supplies;DROP TABLE T;
$||\{?(??>.,105,29-Jun-2018,04/21/2025,20.06.1958,Limited B.V.Limited B.V.Limited B.V.Limited B.V.,AU,AU028F5H9006YL5C8USAJL AU028F5H9006YL5C8USAJL,S.A. Inc GmbH Oy,CA,Y,US$,N/A,139857.33,N/A,JP,NL,"Office supplies
"
$<},66,04.07.2024,2023-08-06 15:14:34,2026-13-01,Holdings S.A. OR 1=1,Australia,BR3M,Partners Oy Limited IncPartners Oy Limited IncPartners Oy Limited IncPartners Oy Limited IncPartners Oy Limited Inc,SE,QFDE3879O1RN36_ QFDE3879O1RN36_,PLN,"118748,13",€118748.13,100,SWE,PL,Intra-EU acquisition | l0V JM1e0SDEuPPz0ykdZxPBmrggexMX2vb
 ,476,   ,null,"2016/01/10 GMT+2""",Partners Partners Partners,CAN,1_O,"Holdings NV Limited LLC BV
",IE,,JPY,, (123.45) ,"0,21",USA,🇳🇱,Rounding diff;DROP TABLE T;
TXN-6H8G4rp-fUKZ0q4UOVk05HfhF,54,2026/99/01,2026.05.08.12.99.00,2026-04-31,BV Inc,BR,€BRLVDU7HT2,€Inc K.K. NV😀™,Germnay,N,SEK,"1 234 567,89",36263.10,-3.65345793025318,IT,CAN,"Import VATcomma,inside"
$@&|&}\.^>{,348,2026.05.08.12.99.00,2017-10-18 18:10:22,07/14/2022,,Italy,VAT6,Partners SpA SpA S.A.,CA,6SW_2IQDETZO7CU,,409.311.08,Infinity,0.1,AU,UAE,Payment fee | Bi8Oy Ulz5uHkBogTZiGhOKYz1WO6q1Jk8unffbBaOXLjb
